filename zero_cr spectral_centroid spectral_rollof chroma_frequency mfcc0 mfcc1 mfcc2 mfcc3 mfcc4 mfcc5 mfcc6 mfcc7 mfcc8 mfcc9 mfcc10 mfcc11 mfcc12 mfcc13 mfcc14 mfcc15 mfcc16 mfcc17 mfcc18 mfcc19
" - MHA - Opening saison 3.m4a" 0.12081488024150742 2609.0410666418993 5654.2373948795785 0.34967932699481696 -214.18503347510702 61.3911185251735 -2.857709165625992 13.264549812532742 9.923011413509874 8.534911980818999 7.277942778257005 6.0791361216972275 -0.11372672883188571 8.209173671059325 -1.5320900673611573 4.560255989008768 -1.5010197773432588 1.6801774159537677 -2.0646322737948752 -1.5005343239907527 -3.9240298855029025 2.38633313991451 -3.7672127538407167 1.4346418842869317
" - Rilès - EVIL.m4a" 0.11859156538609543 2706.6478592531334 5620.851012338058 0.323583442603362 -83.90686085333712 65.9238217187816 6.305052088761864 21.534142102686292 4.812398636312671 6.159503066164319 -16.00508182396145 -2.080048270145251 -11.24216061534118 3.095874953972227 -0.7662009387103486 -2.1888621032887956 -7.582695602178692 -2.2033423105310077 1.975479229325162 5.318757765609603 -6.638901904675865 -0.8782047843517079 -4.174471305303572 -2.923216892043944
"06 - PRESQUE RIEN (Hippocampe Fou feat. Gaël Faye).m4a" 0.07262976008399004 2251.656618708374 4970.178777061029 0.41536026678047455 -98.0076235647577 99.86530209117682 22.178434056384045 9.869253484980467 12.813945378470676 9.402934913981126 -1.9726903193793524 6.658087352634586 -5.775313847538683 5.544508920796595 -0.6042507164876278 3.006296480381731 -3.2378847461607 2.387053465928891 0.8324334887007256 5.128834882243943 0.15171281315564136 3.92410855855406 -1.9817550157614507 3.253364705172326
"Akhenaton - Vivre maintenant.m4a" 0.0811956026909003 1784.9954031747834 3629.3021542628935 0.3997510641778473 -226.3754696725486 107.81310950351215 3.46780838490638 25.405354834089387 7.092600954704362 1.3906058099608674 3.3872198868189143 5.615007647129496 -7.26684603239203 1.4627751153279154 -4.555928296927412 3.1689151521875756 -2.627320270165736 -1.3933647511911833 -3.20456555745466 2.5512193349683794 -2.8549091012127312 -2.3430118618966507 -2.227092777193594 -4.2967387384596565
"Aladdin - Ton meilleu ami.m4a" 0.1429483919478834 2564.1509968447685 5009.914695081619 0.3728696540788458 -74.39094091139125 82.8618066389128 -19.525516139248804 18.84897033784301 -8.767842286352426 2.348118598168531 -10.825669345385082 0.36797587745644483 -7.077109134420347 -0.9514131128302975 -8.837185251893077 2.1682672051982004 -7.837629310098901 0.38768058818421663 -2.9766305796309527 0.8341355536484564 -6.701236911810057 2.784722144059304 -4.1643082179465924 -1.20412215273124
"Alain Souchon & Laurent Voulzy - Allô maman bobo.m4a" 0.06638403840896664 1540.9259857656873 3008.9925868814926 0.3047075304881968 -185.95425962961554 129.25177079596958 16.56693389736927 -0.5305872776619142 -3.734177923943967 5.389051955513495 -5.222543765911996 -5.656277563251559 -11.964026778891453 1.5010497379300256 -6.821976586358301 -5.958064564919316 -6.766430120467924 0.7470500217505452 -6.200516135218018 -2.9046720574373515 -8.396587948135604 -0.21659959206389912 -5.3040559003856735 -5.1786199959726735
"Alain Souchon & Laurent Voulzy - Foule sentimentale.m4a" 0.10436213822719709 2266.5858714353653 4784.15743631493 0.4102227500515681 -61.863745595362936 92.81094934774178 -11.888079797230585 22.530377117746784 0.43478871315637835 11.279903714012962 -2.0764647988343676 6.699952713350926 -3.763515252882087 5.214734291779598 -3.5309093429900944 1.3840321825840223 -7.029362438664748 -1.86857101246575 -5.1835049474742405 0.12553395613694948 -5.171326202050103 1.7532799076753989 -4.311275877489983 -0.4983144313903409
"Alestorm - You are a Pirate.m4a" 0.15624295339325703 2744.993765519819 5480.48416141492 0.4872409713341175 -9.352432122743203 69.87853942165505 -20.19675910005573 28.17233494700443 -3.645046801742597 13.757919420628829 -7.466521590130929 9.917590322617668 0.8227977308550464 5.997960477052755 -0.4968232177449714 10.561116884735402 -7.703038998994846 4.81561514622202 -7.8326253498741805 4.6629339526346065 -8.096585944526225 6.500381764123184 -5.5166384087751155 3.9248151066577166
"Aliotta Haynes Jeremiah - Lake Shore Drive.m4a" 0.09330063439849624 2068.820959459273 4456.3504966672435 0.3801279233227202 -95.32683053361329 104.79190011733664 -4.977088603892985 24.864269041251024 3.5080673561785334 9.380890432903017 -2.733896989266931 5.995837964661565 -3.9306819772320067 0.554616305059649 -4.680392014605811 -0.7174557658323317 -3.777807318132578 2.29794783221073 -2.9219975158004354 -0.3087707830150521 -5.182039238966455 0.05026797671579919 -6.637249335346495 -0.05174576419525652
"AllStarJR - Deep in the Game.m4a" 0.07687468763882718 2343.7716374236 5262.345912667287 0.48006895995856763 -71.38842889411751 83.91765906172483 17.15169791032617 19.635290370773564 1.133563799287932 9.800362985197255 1.503867060069204 9.61304462130116 -2.3426546131304873 7.631431686937568 3.1933742620445837 13.08362665446461 2.6824176174653167 10.535486565122707 6.790143831847324 9.495797744340587 5.73409448806206 8.554170585673544 3.143971785683968 6.6407750970715345
"alt-J - 3WW (feat. Lomepal) [Lomepal Version].m4a" 0.07834472945824932 2013.2834943188107 4239.093640888165 0.3450095688520269 -148.54889859208458 109.46198195542887 10.942957950691875 20.624592083857003 11.671129460922005 0.3138749550496766 5.5012571771877905 -3.89400708547493 -9.108181881987836 4.5480403649466785 -6.210087871233325 4.428819291749352 -6.85300084765239 1.4213355041186202 -6.980606635315745 1.3064427248864448 -9.315045367163401 1.4263012219032576 0.16651411343953415 -0.9902162456541047
