filename zero_cr spectral_centroid spectral_rollof chroma_frequency
"College - A Real Hero Mix.m4a" 0.043377709872097554 1315.136635276138 2574.559167740643 0.32791717611605337
"Columbine & Lujipeka - Adieu bientôt .m4a" 0.0819889131624903 2227.6577119318185 5091.717956319645 0.3668618601839107
"Columbine - Cache-Cache.m4a" 0.09776280301595984 2293.03642228419 5073.0310728316435 0.3050557013309653
"Columbine - Pierre, feuille, papier, ciseaux.m4a" 0.0696070763778058 1801.3669033738192 3711.00322591414 0.33610976533902087
"Cowboy Bebop OST 1 - Tank!.m4a" 0.12504008198832417 2325.0694097210153 4614.167893629808 0.40952253624140716
"Cyndi Lauper - Girls Just Want to Have Fun.m4a" 0.16156662315532766 2823.7483518737477 5403.6479885450535 0.35441100267166553
"D12 - My Band..m4a" 0.09520299226334951 2034.8299588627804 4092.842427966664 0.36316927816573563
"Daft Punk - Veridis Quo.m4a" 0.05241077118597725 1321.1096994550758 2654.5897451604355 0.33605365609789867
"Damso - Amnesie.m4a" 0.057936468770420385 1902.983185587975 4374.528140145121 0.3700853232175188
"Damso - Autotune.m4a" 0.061640194537976936 1824.5911466955527 4229.035022174195 0.44678414120992255
"Damso - Baltringue.m4a" 0.10974441054075712 2747.7084648927207 5802.786729622708 0.37903509651478345
"Damso - BruxellesVie.m4a" 0.09870153595852636 2609.0541203120356 5817.143995788695 0.3371605412141881
"_ Randy Dandy-O _  Assassin's Creed IV Black Flag _ shanty _ lyrics _.m4a" 0.10286846223896885 2085.2839603351244 3677.1805882510175 0.27808165899810516
